date,mean,median,min,max,std,dataset
2025-06-30,44622.33704137931,11.0,-52.7,1472579.0,155114.2258887302,m3
2025-07-31,44170.71368275862,4.5,-53.9,1470590.0,154543.71143248698,m3
2015-01-31,108.11193181818182,16.5,3.0,1085.0,201.59543369181165,residential
2015-02-28,103.4159090909091,15.65,1.2,1127.0,192.6638318115563,residential
2015-03-31,104.1625,16.15,2.7,1072.0,190.35997947497864,residential
2015-04-30,117.27954545454546,17.5,3.0,1190.0,213.6551417102354,residential
2015-05-31,118.10795454545455,21.0,3.0,1272.0,214.56151310939293,residential
2015-06-30,123.2840909090909,24.0,3.0,1379.0,225.09875008162905,residential
2015-07-31,118.74829545454546,22.0,3.0,1146.0,214.19294959036537,residential
2015-08-31,118.9159090909091,21.7,2.0,1165.0,216.4130631844647,residential
2015-09-30,121.77670454545455,21.55,2.0,1224.0,222.56713471269916,residential
2015-10-31,117.78920454545455,20.0,2.0,1160.0,213.85097280233842,residential
2015-11-30,121.9778409090909,19.2,2.0,1244.0,225.53539150309552,residential
2015-12-31,121.62670454545454,18.0,2.0,1211.0,223.54257791287785,residential
2016-01-31,119.52613636363635,18.35,3.0,1171.0,220.63363504458474,residential
2016-02-29,123.45,18.15,3.0,1225.0,228.43111797026003,residential
2016-03-31,120.39090909090909,18.5,3.0,1118.0,218.81999680695867,residential
2016-04-30,121.96931818181817,18.0,3.0,1163.0,222.83950681174977,residential
2016-05-31,124.39829545454545,18.8,3.0,1205.0,227.38541540726632,residential
2016-06-30,128.30568181818182,19.0,3.0,1208.0,233.59519068334785,residential
2016-07-31,127.70113636363637,17.7,3.0,1239.0,235.2861960588512,residential
2016-08-31,126.35170454545455,17.0,3.0,1201.0,231.46291081465344,residential
2016-09-30,126.1153409090909,18.0,3.0,1303.0,232.53592666915608,residential
2016-10-31,131.4227272727273,18.799999999999997,2.0,1313.0,242.86877996259514,residential
2016-11-30,129.83522727272728,18.5,2.0,1244.0,241.6168842443509,residential
2016-12-31,129.80454545454543,18.5,2.0,1252.0,240.44608847917462,residential
2017-01-31,128.9125,17.25,2.0,1303.0,242.06573927049533,residential
2017-02-28,130.57840909090908,19.2,2.3,1271.0,244.23643273276403,residential
2017-03-31,131.71988636363636,20.15,3.0,1272.0,243.34820954341743,residential
2017-04-30,129.18806818181818,20.0,3.0,1251.0,237.2908590731538,residential
2017-05-31,131.61647727272728,20.25,3.0,1208.0,240.0667433648509,residential
2017-06-30,138.26250000000002,21.0,3.0,1353.0,251.33241133151586,residential
2017-07-31,133.89602272727274,20.0,3.0,1256.0,246.36499852531128,residential
2017-08-31,133.4943181818182,20.15,3.0,1319.0,243.26669332610697,residential
2017-09-30,133.10625000000002,18.65,3.0,1273.0,243.77057883093983,residential
2017-10-31,138.47272727272727,19.9,3.0,1356.0,254.24101241696863,residential
2017-11-30,137.17159090909092,19.8,3.0,1299.0,253.91684148222956,residential
2017-12-31,135.12897727272727,20.55,3.0,1311.0,248.31139346986888,residential
2018-01-31,137.77954545454546,22.05,2.9,1317.0,255.90423818701774,residential
2018-02-28,139.2931818181818,22.95,3.0,1321.0,257.9016325414255,residential
2018-03-31,140.61875,23.0,3.0,1385.0,257.24248713866393,residential
2018-04-30,141.30227272727274,23.45,3.0,1378.0,259.1559212861291,residential
2018-05-31,144.59829545454545,23.5,3.0,1357.0,263.80621924314755,residential
2018-06-30,140.3840909090909,25.0,3.0,1345.0,254.83951987145102,residential
2018-07-31,139.36534090909092,25.0,3.0,1334.0,252.66624127017326,residential
2018-08-31,142.38636363636363,23.0,3.0,1288.0,259.9606571032594,residential
2018-09-30,139.90227272727273,23.0,3.0,1314.0,254.83916674854146,residential
2018-10-31,137.6130681818182,22.0,3.0,1272.0,249.88420724056724,residential
2018-11-30,137.1130681818182,21.7,3.0,1340.0,251.2831170491982,residential
2018-12-31,133.43352272727273,21.5,3.0,1317.0,244.00999431774937,residential
2019-01-31,139.74886363636364,20.549999999999997,3.0,1254.0,256.497820650978,residential
2019-02-28,137.3971590909091,19.75,2.2,1304.0,252.1686248590647,residential
2019-03-31,140.55170454545453,22.55,3.0,1313.0,256.59553408304595,residential
2019-04-30,142.73636363636362,21.35,3.0,1322.0,259.1271234330773,residential
2019-05-31,142.81761363636363,22.5,3.0,1347.0,260.33895066018096,residential
2019-06-30,140.2590909090909,21.0,3.0,1299.0,255.5940552120496,residential
2019-07-31,143.07272727272726,22.0,3.0,1379.0,261.4588938911913,residential
2019-08-31,149.79545454545453,23.0,3.0,1482.0,275.519152524452,residential
2019-09-30,144.90170454545455,22.0,3.0,1469.0,268.8851443539059,residential
2019-10-31,149.70170454545453,21.25,3.0,1523.0,276.1856295991482,residential
2019-11-30,149.5460227272727,21.5,3.0,1535.0,278.154756485521,residential
2019-12-31,152.20454545454547,23.0,3.0,1548.0,282.6622363615894,residential
2020-01-31,153.73977272727274,22.0,3.0,1581.0,287.1351413194134,residential
2020-02-29,152.0971590909091,19.7,3.0,1549.0,287.4927138314444,residential
2020-03-31,143.95454545454547,21.0,3.0,1346.0,267.38596240922317,residential
2020-04-30,129.2590909090909,21.5,2.1,1194.0,240.11130592116825,residential
2020-05-31,134.725,22.0,3.0,1250.0,246.7400625296647,residential
2020-06-30,144.52727272727273,22.0,3.0,1334.0,264.5995219636208,residential
2020-07-31,156.96761363636364,23.0,3.0,1546.0,292.31737982051266,residential
2020-08-31,153.85340909090908,23.1,3.0,1533.0,286.423334224556,residential
2020-09-30,162.04829545454547,22.3,3.0,1636.0,302.96730421887,residential
2020-10-31,162.92784090909092,23.200000000000003,3.0,1613.0,305.92671646821884,residential
2020-11-30,161.88238636363636,22.05,3.0,1703.0,305.5437632942079,residential
2020-12-31,168.20738636363637,22.5,3.0,1752.0,316.87936668524844,residential
2021-01-31,170.70852272727274,21.55,3.0,1855.0,322.83332238360055,residential
2021-02-28,161.93636363636364,22.4,3.0,1711.0,301.3190224640676,residential
2021-03-31,175.14261363636362,25.2,3.0,1756.0,323.16391391895166,residential
2021-04-30,170.7528409090909,25.7,3.0,1721.0,311.57818462585004,residential
2021-05-31,171.91420454545457,25.25,3.0,1703.0,314.5691921568621,residential
2021-06-30,173.20056818181817,25.7,3.0,1654.0,315.4817177401041,residential
2021-07-31,174.03636363636363,25.0,3.0,1658.0,318.86393719196036,residential
2021-08-31,176.0880681818182,26.85,3.0,1736.0,321.9319994297214,residential
2021-09-30,172.46931818181818,25.0,3.0,1640.0,315.73775605097325,residential
2021-10-31,176.39261363636362,27.8,3.0,1707.0,322.50940770683815,residential
2021-11-30,182.8784090909091,26.2,3.0,1765.0,338.01534587272,residential
2021-12-31,186.19261363636363,27.15,3.0,1919.0,342.5744502223274,residential
2022-01-31,185.29659090909092,23.9,3.0,1920.0,345.8049450026875,residential
2022-02-28,187.56931818181818,23.8,3.0,1857.0,348.0639735477059,residential
