movie_title,original_title,director_name,actor_1_name,actor_2_name,actor_3_name,budget,gross,title_year,release_date,duration,vote_average,vote_count,popularity,genres,country,original_language,overview,tagline,tmdb_id,imdb_id
Sulung,Sulung,Lula Janatin Alfafa,Dinar Wiyuna Putra,Muhamad Miftah Nur Ihsan,Dela Puspa Rahayu,100,100,2023,2023-12-25,0,10.0,1,0.0071,Drama|Family,Indonesia,id,,,1496315,
TITAN-NIC: A Última Visita,TITAN-NIC: A Última Visita,Igor Borges,,,,400,10500,2023,2023-09-29,0,0.0,0,0.0071,Documentary,,pt,,,1201582,
Lymph,Lymph,Ashkan Zehtab,Sima Shokri,,,10000,10000,2023,2023-05-16,12,0.0,0,0.0,Drama,Iran,en,"She is a woman who knows that Cancer is going to defeat her. She wants to take back her everyday life from the thought of Death. She is a woman. She wants to be released from all her tumors and reclaim her mundane daily life. She screams everyday Woman, life, freedom.","She screams everyday Woman, life, freedom",1377568,tt31539773
Crawfest,Crawfest,Grantland Thomas,William Crawford,Grantland Thomas,Maxwell Garrett,1200,400,2023,2023-07-10,59,0.0,0,0.0,Documentary|Music,United States of America,en,"A live music special documenting the third annual Crawfest. Created by William Crawford, Crawfest is a backyard music festival where bands from the Tuscaloosa and Nashville areas gather to perform original music for an entire day. Featuring music by Cavehole, Psycho Wave, The Valet, and more.",There ain't no good enough about it.,1149302,
"La Drogue 2, Duel de Guimbarde","La Drogue 2, Duel de Guimbarde",,Moïse Bobillier,Stan Felder,,6000000,11780000,2023,2023-08-20,0,10.0,1,0.0,,Switzerland,fr,,,1414502,
Lady Puto,Lady Puto,,Gabriela Caputo,,,10000,80000,2023,2023-02-15,0,0.0,0,0.0,,,pt,,,1087236,
222% GIO,222% GIO,Lilian Schaff,Christophe Demarcq,Lilian Schaff,Julie Fidel,3200,4000,2023,2023-01-21,0,7.0,1,0.0,Documentary,,fr,,,1317765,
Civa,Civa,Doruk Yankı Alioğlu,Onur Alioğlu,Ali Duman,,20,200,2023,2023-01-08,0,0.0,0,0.0,Drama|Mystery,Turkey,tr,,,1519378,
AMC: Under The Curtain,AMC: Under The Curtain,Jake Mandel,Brianne Castillo,,,500,700,2023,2023-08-03,2,0.0,0,0.0,Thriller,United States of America,en,A creepy and foreboding look into what hides in the depths of amc theatres.,,1159506,
IUME (Atreverse a soñar),IUME (Atreverse a soñar),Alberto Masa,Cristina Colilla Bartolomé,Jorge Núñez Martínez,Xiao Iván Lin Pan,300,400,2023,2023-11-10,0,10.0,1,0.0,Science Fiction,Spain,es,,,1455123,tt35666648
Lyna Live From Buenos Aires: Gran Rex,Lyna Live From Buenos Aires: Gran Rex,,Lyna,,,1000000,400000000,2023,2023-01-01,90,0.0,0,0.0,Family|Music,,en,"Argentinian web diva Evelyn Vallejos returns to her hometown to kick off her highly anticipated ""Show Lyniel"" with a live concert at the iconic Gran Rex in Buenos Aires. With 11 performances, Lyna makes history by selling out all shows in just a few hours.","THE MOST FOLLOWED ARGENTINE IN THE WORLD SOLD OUT 11 PERFORMANCES AT THE GRAN REX, MAKING HISTORY FOR THE COUNTRY.",1425681,
MATURA FILM OF THE 8N - BORG Götzis,MATURAFILM DER 8N - BORG Götzis,Tamer Isler,Tamer Isler,Ruben Hilbrand,Matej Rosandic,500,4000,2023,2023-07-08,17,0.0,0,0.0,Drama,,en,"Did Tamer Isler make the movie? Or did he reach into the molten bowels of the earth and pull it forth whole, kicking and squalling, from the grasp of whichever primal elemental force birthed it and concealed it from humanity?",MATURAFILM DER 8N,1425821,
Exit,Nghỉ việc,Phạm Trung Kiên,Phạm Trung Kiên,,,12,243,2023,2023-09-10,1,0.0,0,0.0,Documentary,,en,Last moments before leaving the first job.,this is it.,1230438,
Emma,Emma,Merve Kuş Mataracı,,,,1000,1000,2023,2023-01-01,0,0.0,0,0.0,,Turkey,tr,"When Emma, a high school student in England, escapes school with her girlfriend to attend a wedding, her destiny takes an unexpected turn as she falls in love with Mehmet, a guest at the wedding. When Mehmet, an undocumented immigrant, gets deported, Emma follows him to Turkey.",,1427247,
Vidhi: The Revolution,విధి ది రెవల్యూషన్,Aarush B,Aarush B,Kajal A,Jagapathi B,14480100,49835677,2023,2023-04-28,165,8.0,1,0.0,History|Drama,India,te,"Set in 1935, in the Varudaraja Kingdom, Ramulu looks to bring justice to his kingdom and restore it's dignity.",,1230865,
Glowey,Glowey,David Pease,Sam Pence,Brandon Village,Joey Ambrozich,100,50,2023,2023-07-21,10,0.0,0,0.0,Comedy|Documentary,United States of America,en,"Joey's friends have claimed that he's had a ""Glow Up"" over the past couple of years.  Sam and Brandon go to the streets to find out if it's true.","If it's possible for Joey, it's possible for you.",1199481,
180,180,Giovana Freitas,Julia Câmara,Stogmuller,Lívia,150,150,2023,2023-09-11,0,10.0,1,0.0,Thriller,Brazil,pt,,,1265236,
The Bad Guys,The Bad Guys,Pierre Perifel,Sam Rockwell,Marc Maron,Awkwafina,80000000,250162278,2022,2022-03-17,100,7.533,2301,34.759,Family|Comedy|Crime|Adventure|Animation,United States of America,en,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",Good is no fun at all.,629542,tt8115900
Avatar: The Way of Water,Avatar: The Way of Water,James Cameron,Sam Worthington,Zoe Saldaña,Sigourney Weaver,350000000,2320250281,2022,2022-12-14,192,7.613,12820,30.1597,Science Fiction|Adventure|Action,United States of America,en,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",Return to Pandora.,76600,tt1630029
The Batman,The Batman,Matt Reeves,Robert Pattinson,Zoë Kravitz,Jeffrey Wright,185000000,772319315,2022,2022-03-01,177,7.658,11183,26.7856,Crime|Mystery|Thriller,United States of America,en,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",Unmask the truth.,414906,tt1877830
