source,url,published,title,headline_vader,finbert_neg,finbert_neu,finbert_pos,finbert_score,lang,match_metals,match_adjacent_industries
Unknown,https://www.theleader.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T004500Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://www.bluemountainsgazette.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T013000Z,Major aluminium smelter in talks over possible closure,0.0,0.9215725660324097,0.057825978845357895,0.020601384341716766,-0.9009711816906929,en,True,True
Unknown,https://www.manningrivertimes.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T010000Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://www.westernadvocate.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T010000Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://www.newcastleherald.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T004500Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://www.mudgeeguardian.com.au/story/9098658/major-aluminium-smelter-in-talks-over-possible-closure/,20251028T001500Z,Major aluminium smelter in talks over possible closure,0.0,0.9277384281158447,0.05349483713507652,0.01876680739223957,-0.9089716207236052,en,True,True
Unknown,https://www.theadvocate.com.au/story/9099860/tasnetworks-says-it-wont-forcibly-acquire-farmland/,20251029T070000Z,TasNetworks says it wont forcibly acquire farmland | The Advocate,0.0,0.015705525875091553,0.7313067317008972,0.2529877722263336,0.23728224635124207,en,False,True
Unknown,https://charter97.org/en/news/2025/10/29/661016/,20251029T121500Z,Indian Billionaire Mittal Has Been Caught Buying Russian Oil,0.0,0.8133981227874756,0.16869758069515228,0.017904335632920265,-0.7954937871545553,en,True,True
Unknown,https://www.argusmedia.com/en/news-and-insights/latest-market-news/2746976-rio-tinto-s-australian-al-smelter-faces-closure-risk,20251028T064500Z,Rio Tinto Australian Al smelter faces closure risk,-0.2732,0.10765469074249268,0.07011987268924713,0.8222254514694214,0.7145707607269287,en,True,True
Unknown,https://www.katherinetimes.com.au/story/9099555/aluminium-giant-urged-to-back-workers-before-shutdown/,20251029T000000Z,Aluminium giant urged to back workers before shutdown,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.bordermail.com.au/story/9099555/aluminium-giant-urged-to-back-workers-before-shutdown/,20251028T233000Z,Aluminium giant urged to back workers before shutdown,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.easternriverinachronicle.com.au/story/9099555/aluminium-giant-urged-to-back-workers-before-shutdown/,20251028T233000Z,Aluminium giant urged to back workers before shutdown,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.westernadvocate.com.au/story/9099555/aluminium-giant-urged-to-back-workers-before-shutdown/,20251029T010000Z,Aluminium giant urged to back workers before shutdown,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.narrominenewsonline.com.au/story/9099555/aluminium-giant-urged-to-back-workers-before-shutdown/,20251028T223000Z,Aluminium giant urged to back workers before shutdown,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.nynganobserver.com.au/story/9099555/aluminium-giant-urged-to-back-workers-before-shutdown/,20251028T223000Z,Aluminium giant urged to back workers before shutdown,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.greatlakesadvocate.com.au/story/9099555/aluminium-giant-urged-to-back-workers-before-shutdown/,20251028T223000Z,Aluminium giant urged to back workers before shutdown,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.theleader.com.au/story/9099555/aluminium-giant-urged-to-back-workers-before-shutdown/,20251028T221500Z,Aluminium giant urged to back workers before shutdown,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.cessnockadvertiser.com.au/story/9099555/aluminium-giant-urged-to-back-workers-before-shutdown/,20251028T230000Z,Aluminium giant urged to back workers before shutdown,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
Unknown,https://www.dailyadvertiser.com.au/story/9099555/aluminium-giant-urged-to-back-workers-before-shutdown/,20251028T224500Z,Aluminium giant urged to back workers before shutdown,0.0,0.6413721442222595,0.3217030167579651,0.03692486882209778,-0.6044472754001617,en,True,True
